State,Avg °F,Avg °C
Alabama,62.8,17.1
Alaska,26.6,-3
Arizona,60.3,15.7
Arkansas,60.4,15.8
California,59.4,15.2
Colorado,45.1,7.3
Connecticut,49,9.4
Delaware,55.3,12.9
Florida,70.7,21.5
Georgia,63.5,17.5
Hawaii,70,21.1
Idaho,44.4,6.9
Illinois,51.8,11
Indiana,51.7,10.9
Iowa,47.8,8.8
Kansas,54.3,12.4
Kentucky,55.6,13.1
Louisiana,66.4,19.1
Maine,41,5
Maryland,54.2,12.3
Massachusetts,47.9,8.8
Michigan,44.4,6.9
Minnesota,41.2,5.1
Mississippi,63.4,17.4
Missouri,54.5,12.5
Montana,42.7,5.9
Nebraska,48.8,9.3
Nevada,49.9,9.9
New Hampshire,43.8,6.6
New Jersey,52.7,11.5
New Mexico,53.4,11.9
New York,45.4,7.4
North Carolina,59,15
North Dakota,40.4,4.7
Ohio,50.7,10.4
Oklahoma,59.6,15.3
Oregon,48.4,9.1
Pennsylvania,48.8,9.3
Rhode Island,50.1,10.1
South Carolina,62.4,16.9
South Dakota,45.2,7.3
Tennessee,57.6,14.2
Texas,64.8,18.2
Utah,48.6,9.2
Vermont,42.9,6.1
Virginia,55.1,12.8
Washington,48.3,9.1
West Virginia,51.8,11
Wisconsin,43.1,6.2
Wyoming,42,5.6
